tournament,team,player
2006,Brazil,Zé Roberto
2006,Costa Rica,Carlos Hernández
2006,Costa Rica,Christian Bolaños
2006,Costa Rica,Danny Fonseca
2006,Costa Rica,Douglas Sequeira
2006,Costa Rica,Gabriel Badilla
2006,Costa Rica,Gilberto Martínez
2006,Costa Rica,Harold Wallace
2006,Costa Rica,Jervis Drummond
2006,Costa Rica,José Porras
2006,Costa Rica,Kurt Bernard
2006,Costa Rica,Leonardo González (Costa Rican footballer)
2006,Costa Rica,Luis Marín Murillo
2006,Costa Rica,Mauricio Solís
2006,Costa Rica,Michael Rodríguez
2006,Costa Rica,Michael Umaña
2006,Costa Rica,Paulo Wanchope
2006,Costa Rica,Randall Azofeifa
2006,Costa Rica,Rónald Gómez
2006,Costa Rica,Víctor Núñez
2006,Costa Rica,Walter Centeno
2006,Costa Rica,Wardy Alfaro
2006,Costa Rica,Álvaro Mesén
2006,Costa Rica,Álvaro Saborío
2006,Croatia,Anthony Šerić
2006,Croatia,Boško Balaban
2006,Croatia,Dado Pršo
2006,Croatia,Darijo Srna
2006,Croatia,Dario Šimić
2006,Croatia,Igor Tudor
2006,Croatia,Ivan Bošnjak
2006,Croatia,Ivan Klasnić
2006,Croatia,Ivan Leko
2006,Croatia,Ivica Olić
2006,Croatia,Jerko Leko
2006,Croatia,Joey Didulica
2006,Croatia,Josip Šimunić
2006,Croatia,Jurica Vranješ
2006,Croatia,Luka Modrić
2006,Croatia,Mario Tokić
2006,Croatia,Marko Babić
2006,Croatia,Niko Kovač
2006,Croatia,Niko Kranjčar
2006,Croatia,Robert Kovač
2006,Croatia,Stipe Pletikosa
2006,Croatia,Stjepan Tomas
2006,Croatia,Tomislav Butina
2006,Czech Republic,Antonín Kinský
2006,Czech Republic,David Jarolím
2006,Czech Republic,David Rozehnal
2006,Czech Republic,Jan Koller
2006,Czech Republic,Jan Polák
2006,Czech Republic,Jaromír Blažek
2006,Czech Republic,Jaroslav Plašil
2006,Czech Republic,Jiří Štajner
2006,Czech Republic,Karel Poborský
2006,Czech Republic,Libor Sionko
2006,Czech Republic,Marek Heinz
2006,Czech Republic,Marek Jankulovski
2006,Czech Republic,Martin Jiránek
2006,Czech Republic,Milan Baroš
2006,Czech Republic,Pavel Mareš
2006,Czech Republic,Pavel Nedvěd
2006,Czech Republic,Petr Čech
2006,Czech Republic,Radoslav Kováč
2006,Czech Republic,Tomáš Galásek
2006,Czech Republic,Tomáš Rosický
2006,Czech Republic,Tomáš Ujfaluši
2006,Czech Republic,Vratislav Lokvenc
2006,Czech Republic,Zdeněk Grygera
2006,Ecuador,Agustín Delgado
2006,Ecuador,Antonio Valencia
2006,Ecuador,Carlos Tenorio
2006,Ecuador,Christian Benítez
2006,Ecuador,Christian Lara
2006,Ecuador,Cristian Mora
2006,Ecuador,Damián Lanza
2006,Ecuador,Edison Méndez
2006,Ecuador,Edwin Tenorio
2006,Ecuador,Edwin Villafuerte
2006,Ecuador,Félix Borja
2006,Ecuador,Giovanny Espinoza
2006,Ecuador,Iván Hurtado
2006,Ecuador,Iván Kaviedes
2006,Ecuador,Jorge Guagua
2006,Ecuador,José Luis Perlaza
2006,Ecuador,Luis Saritama
2006,Ecuador,Marlon Ayoví
2006,Ecuador,Néicer Reasco
2006,Ecuador,Patricio Urrutia
2006,Ecuador,Paúl Ambrosi
2006,Ecuador,Segundo Castillo
2006,Ecuador,Ulises de la Cruz
2006,England,Aaron Lennon
2006,England,Ashley Cole
2006,England,David Beckham
2006,England,David James
2006,England,Frank Lampard
2006,England,Gary Neville
2006,England,Jamie Carragher
2006,England,Jermaine Jenas
2006,England,Joe Cole
2006,England,John Terry
2006,England,Michael Carrick
2006,England,Michael Owen
2006,England,Owen Hargreaves
2006,England,Paul Robinson
2006,England,Peter Crouch
2006,England,Rio Ferdinand
2006,England,Scott Carson
2006,England,Sol Campbell
2006,England,Steven Gerrard
2006,England,Stewart Downing
2006,England,Theo Walcott
2006,England,Wayne Bridge
2006,England,Wayne Rooney
2006,France,Alou Diarra
2006,France,Claude Makélélé
2006,France,David Trezeguet
2006,France,Eric Abidal
2006,France,Fabien Barthez
2006,France,Florent Malouda
2006,France,Franck Ribéry
2006,France,Gaël Givet
2006,France,Grégory Coupet
2006,France,Jean-Alain Boumsong
2006,France,Lilian Thuram
2006,France,Louis Saha
2006,France,Mickaël Landreau
2006,France,Mikaël Silvestre
2006,France,Pascal Chimbonda
2006,France,Patrick Vieira
2006,France,Sidney Govou
2006,France,Sylvain Wiltord
2006,France,Thierry Henry
2006,France,Vikash Dhorasoo
2006,France,William Gallas
2006,France,Willy Sagnol
2006,France,Zinedine Zidane
2006,Germany,Arne Friedrich
2006,Germany,Bastian Schweinsteiger
2006,Germany,Bernd Schneider
2006,Germany,Christoph Metzelder
2006,Germany,David Odonkor
2006,Germany,Gerald Asamoah
2006,Germany,Jens Lehmann
2006,Germany,Jens Nowotny
2006,Germany,Lukas Podolski
2006,Germany,Marcell Jansen
2006,Germany,Michael Ballack
2006,Germany,Mike Hanke
2006,Germany,Miroslav Klose
2006,Germany,Oliver Kahn
2006,Germany,Oliver Neuville
2006,Germany,Per Mertesacker
2006,Germany,Philipp Lahm
2006,Germany,Robert Huth
2006,Germany,Sebastian Kehl
2006,Germany,Thomas Hitzlsperger
2006,Germany,Tim Borowski
2006,Germany,Timo Hildebrand
2006,Germany,Torsten Frings
2006,Ghana,Alex Tachie-Mensah
2006,Ghana,Asamoah Gyan
2006,Ghana,Daniel Quaye
2006,Ghana,Derek Boateng
2006,Ghana,Emmanuel Pappoe
2006,Ghana,Eric Addo
2006,Ghana,George Owu
2006,Ghana,Habib Mohamed
2006,Ghana,Haminu Draman
2006,Ghana,Hans Sarpei
2006,Ghana,Illiasu Shilla
2006,Ghana,Issah Gabriel Ahmed
2006,Ghana,John Mensah
2006,Ghana,John Paintsil
2006,Ghana,Matthew Amoah
2006,Ghana,Michael Essien
2006,Ghana,Otto Addo
2006,Ghana,Razak Pimpong
2006,Ghana,Richard Kingson
2006,Ghana,Sammy Adjei
2006,Ghana,Samuel Kuffour
2006,Ghana,Stephen Appiah
2006,Ghana,Sulley Muntari
2006,Iran,Ali Daei
2006,Iran,Ali Karimi
2006,Iran,Amir Hossein Sadeghi
2006,Iran,Andranik Teymourian
2006,Iran,Arash Borhani
2006,Iran,Ebrahim Mirzapour
2006,Iran,Ferydoon Zandi
2006,Iran,Hassan Roudbarian
2006,Iran,Hossein Kaebi
2006,Iran,Javad Kazemian
2006,Iran,Javad Nekounam
2006,Iran,Masoud Shojaei
2006,Iran,Mehdi Mahdavikia
2006,Iran,Mehrzad Madanchi
2006,Iran,Mohammad Nosrati
2006,Iran,Moharram Navidkia
2006,Iran,Rahman Rezaei
2006,Iran,Rasoul Khatibi
2006,Iran,Reza Enayati
2006,Iran,Sohrab Bakhtiarizadeh
2006,Iran,Vahid Hashemian
2006,Iran,Vahid Talebloo
2006,Iran,Yahya Golmohammadi
2006,Italy,Alberto Gilardino
2006,Italy,Alessandro Del Piero
2006,Italy,Alessandro Nesta
2006,Italy,Andrea Barzagli
2006,Italy,Andrea Pirlo
2006,Italy,Angelo Peruzzi
2006,Italy,Cristian Zaccardo
2006,Italy,Daniele De Rossi
2006,Italy,Fabio Cannavaro
2006,Italy,Fabio Grosso
2006,Italy,Filippo Inzaghi
2006,Italy,Francesco Totti
2006,Italy,Gennaro Gattuso
2006,Italy,Gianluca Zambrotta
2006,Italy,Gianluigi Buffon
2006,Italy,Luca Toni
2006,Italy,Marco Amelia
2006,Italy,Marco Materazzi
2006,Italy,Massimo Oddo
2006,Italy,Mauro Camoranesi
2006,Italy,Simone Barone
2006,Italy,Simone Perrotta
2006,Italy,Vincenzo Iaquinta
2006,Ivory Coast,Abdoulaye Méïté
2006,Ivory Coast,Abdul Kader Keïta
2006,Ivory Coast,Arouna Koné
2006,Ivory Coast,Arthur Boka
2006,Ivory Coast,Aruna Dindane
2006,Ivory Coast,Bakari Koné
2006,Ivory Coast,Blaise Kouassi
2006,Ivory Coast,Bonaventure Kalou
2006,Ivory Coast,Boubacar Barry
2006,Ivory Coast,Cyril Domoraud
2006,Ivory Coast,Didier Drogba
2006,Ivory Coast,Didier Zokora
2006,Ivory Coast,Emerse Faé
2006,Ivory Coast,Emmanuel Eboué
2006,Ivory Coast,Gilles Yapi Yapo
2006,Ivory Coast,Guy Demel
2006,Ivory Coast,Gérard Gnanhouan
2006,Ivory Coast,Jean-Jacques Tizié
2006,Ivory Coast,Kanga Akalé
2006,Ivory Coast,Kolo Touré
2006,Ivory Coast,Marco Zoro
2006,Ivory Coast,Romaric
2006,Ivory Coast,Yaya Touré
2006,Japan,Akira Kaji
2006,Japan,Alessandro Santos
2006,Japan,Atsushi Yanagisawa
2006,Japan,Hidetoshi Nakata
2006,Japan,Junichi Inamoto
2006,Japan,Keiji Tamada
2006,Japan,Keisuke Tsuboi
2006,Japan,Kōji Nakata
2006,Japan,Masashi Oguro
2006,Japan,Mitsuo Ogasawara
2006,Japan,Naohiro Takahara
2006,Japan,Seigo Narazaki
2006,Japan,Seiichiro Maki
2006,Japan,Shinji Ono
2006,Japan,Shunsuke Nakamura
2006,Japan,Takashi Fukunishi
2006,Japan,Teruyuki Moniwa
2006,Japan,Tsuneyasu Miyamoto
2006,Japan,Yasuhito Endō
2006,Japan,Yoichi Doi
2006,Japan,Yoshikatsu Kawaguchi
2006,Japan,Yuji Nakazawa
2006,Japan,Yūichi Komano
2006,Mexico,Andrés Guardado
2006,Mexico,Carlos Salcido
2006,Mexico,Claudio Suárez
2006,Mexico,Francisco Fonseca
2006,Mexico,Francisco Javier Rodríguez
2006,Mexico,Gerardo Torrado
2006,Mexico,Gonzalo Pineda
2006,Mexico,Guillermo Franco
2006,Mexico,Guillermo Ochoa
2006,Mexico,Jared Borgetti
2006,Mexico,Jesús Arellano
2006,Mexico,José Antonio Castro
2006,Mexico,José de Jesús Corona
2006,Mexico,Luis Ernesto Pérez
2006,Mexico,Mario Méndez (Mexican footballer)
2006,Mexico,Omar Bravo
2006,Mexico,Oswaldo Sánchez
2006,Mexico,Pável Pardo
2006,Mexico,Rafael García Torres
2006,Mexico,Rafael Márquez
2006,Mexico,Ramón Morales
2006,Mexico,Ricardo Osorio
2006,Mexico,Sinha
2006,Netherlands,André Ooijer
2006,Netherlands,Arjen Robben
2006,Netherlands,Denny Landzaat
2006,Netherlands,Dirk Kuyt
2006,Netherlands,Edwin van der Sar
2006,Netherlands,Giovanni van Bronckhorst
2006,Netherlands,Hedwiges Maduro
2006,Netherlands,Henk Timmer
2006,Netherlands,Jan Kromkamp
2006,Netherlands,Jan Vennegoor of Hesselink
2006,Netherlands,John Heitinga
2006,Netherlands,Joris Mathijsen
2006,Netherlands,Kew Jaliens
2006,Netherlands,Khalid Boulahrouz
2006,Netherlands,Maarten Stekelenburg
2006,Netherlands,Mark van Bommel
2006,Netherlands,Phillip Cocu
2006,Netherlands,Rafael van der Vaart
2006,Netherlands,Robin van Persie
2006,Netherlands,Ruud van Nistelrooy
2006,Netherlands,Ryan Babel
2006,Netherlands,Tim de Cler
2006,Netherlands,Wesley Sneijder
2006,Paraguay,Aldo Bobadilla
2006,Paraguay,Carlos Bonet
2006,Paraguay,Carlos Gamarra
2006,Paraguay,Carlos Humberto Paredes
2006,Paraguay,Cristian Riveros
2006,Paraguay,Dante López
2006,Paraguay,Delio Toledo
2006,Paraguay,Denis Caniza
2006,Paraguay,Derlis Gómez
2006,Paraguay,Diego Gavilán
2006,Paraguay,Jorge Núñez
2006,Paraguay,José Montiel
2006,Paraguay,Julio César Cáceres
2006,Paraguay,Julio César Manzur
2006,Paraguay,Julio dos Santos
2006,Paraguay,Justo Villar
2006,Paraguay,Nelson Cuevas
2006,Paraguay,Nelson Haedo Valdez
2006,Paraguay,Paulo da Silva
2006,Paraguay,Roberto Acuña
2006,Paraguay,Roque Santa Cruz
2006,Paraguay,Salvador Cabañas
2006,Paraguay,Édgar Barreto
2006,Poland,Arkadiusz Radomski
2006,Poland,Artur Boruc
2006,Poland,Bartosz Bosacki
2006,Poland,Dariusz Dudka
2006,Poland,Ebi Smolarek
2006,Poland,Grzegorz Rasiak
2006,Poland,Ireneusz Jeleń
2006,Poland,Jacek Bąk
2006,Poland,Jacek Krzynówek
2006,Poland,Kamil Kosowski
2006,Poland,Maciej Żurawski
2006,Poland,Marcin Baszczyński
2006,Poland,Mariusz Jop
2006,Poland,Mariusz Lewandowski
2006,Poland,Michał Żewłakow
2006,Poland,Mirosław Szymkowiak
2006,Poland,Paweł Brożek
2006,Poland,Piotr Giza
2006,Poland,Radosław Sobolewski
2006,Poland,Sebastian Mila
2006,Poland,Seweryn Gancarczyk
2006,Poland,Tomasz Kuszczak
2006,Poland,Łukasz Fabiański
2006,Portugal,Costinha
2006,Portugal,Cristiano Ronaldo
2006,Portugal,Deco
2006,Portugal,Fernando Meira
2006,Portugal,Hugo Viana
2006,Portugal,Hélder Postiga
2006,Portugal,Luís Boa Morte
2006,Portugal,Luís Figo
2006,Portugal,Maniche
2006,Portugal,Marco Caneira
2006,Portugal,Miguel Monteiro
2006,Portugal,Nuno Gomes
2006,Portugal,Nuno Valente
2006,Portugal,Pauleta
2006,Portugal,Paulo Ferreira
2006,Portugal,Paulo Santos (Portuguese footballer)
2006,Portugal,Petit (Portuguese footballer)
2006,Portugal,Quim
2006,Portugal,Ricardo
2006,Portugal,Ricardo Carvalho
2006,Portugal,Ricardo Costa
2006,Portugal,Simão Sabrosa
2006,Portugal,Tiago Mendes
2006,Saudi Arabia,Abdulaziz Al-Khathran
2006,Saudi Arabia,Ahmed Al-Bahri
2006,Saudi Arabia,Ahmed Al-Dokhi
2006,Saudi Arabia,Hamad Al-Montashari
2006,Saudi Arabia,Hussein Abdulghani
2006,Saudi Arabia,Khaled Aziz
2006,Saudi Arabia,Mabrouk Zaid
2006,Saudi Arabia,Malek Mouath
2006,Saudi Arabia,Mohamed Al-Deayea
2006,Saudi Arabia,Mohamed Eid
2006,Saudi Arabia,Mohammad Al-Shalhoub
2006,Saudi Arabia,Mohammad Khouja
2006,Saudi Arabia,Mohammad Massad
2006,Saudi Arabia,Mohammed Ameen
2006,Saudi Arabia,Mohammed Noor
2006,Saudi Arabia,Naif Al-Qadi
2006,Saudi Arabia,Nawaf Al-Temyat
2006,Saudi Arabia,Omar Al-Ghamdi
2006,Saudi Arabia,Redha Tukar
2006,Saudi Arabia,Saad Al-Harthi
2006,Saudi Arabia,Sami Al-Jaber
2006,Saudi Arabia,Saud Kariri
2006,Saudi Arabia,Yasser Al-Qahtani
2006,Serbia,Albert Nađ
2006,Serbia,Danijel Ljuboja
2006,Serbia,Dejan Stanković
2006,Serbia,Dragoslav Jevrić
2006,Serbia,Dušan Basta
2006,Serbia,Dušan Petković
2006,Serbia,Goran Gavrančić
2006,Serbia,Igor Duljaj
2006,Serbia,Ivan Ergić
2006,Serbia,Ivica Dragutinović
2006,Serbia,Mateja Kežman
2006,Serbia,Milan Dudić
2006,Serbia,Mladen Krstajić
2006,Serbia,Nemanja Vidić
2006,Serbia,Nenad Đorđević
2006,Serbia,Nikola Žigić
2006,Serbia,Ognjen Koroman
2006,Serbia,Oliver Kovačević
2006,Serbia,Predrag Đorđević
2006,Serbia,Savo Milošević
2006,Serbia,Saša Ilić
2006,Serbia,Vladimir Stojković
2006,Serbia,Zvonimir Vukić
2006,South Korea,Ahn Jung-hwan
2006,South Korea,Baek Ji-hoon
2006,South Korea,Cho Jae-jin
2006,South Korea,Cho Won-hee
2006,South Korea,Choi Jin-cheul
2006,South Korea,Chung Kyung-ho
2006,South Korea,Kim Do-heon
2006,South Korea,Kim Dong-jin
2006,South Korea,Kim Jin-kyu
2006,South Korea,Kim Nam-il
2006,South Korea,Kim Sang-sik
2006,South Korea,Kim Yong-dae
2006,South Korea,Kim Young-chul
2006,South Korea,Kim Young-kwang
2006,South Korea,Lee Chun-soo
2006,South Korea,Lee Eul-yong
2006,South Korea,Lee Ho
2006,South Korea,Lee Woon-jae
2006,South Korea,Lee Young-pyo
2006,South Korea,Park Chu-young
2006,South Korea,Park Ji-sung
2006,South Korea,Seol Ki-hyeon
2006,South Korea,Song Chong-gug
2006,Spain,Andrés Iniesta
2006,Spain,Antonio López
2006,Spain,Carles Puyol
2006,Spain,Carlos Marchena
2006,Spain,Cesc Fàbregas
2006,Spain,David Albelda
2006,Spain,David Villa
2006,Spain,Fernando Torres
2006,Spain,Iker Casillas
2006,Spain,Joaquín
2006,Spain,José Antonio Reyes
2006,Spain,Juanito
2006,Spain,Luis García
2006,Spain,Marcos Senna
2006,Spain,Mariano Pernía
2006,Spain,Míchel Salgado
2006,Spain,Pablo Ibáñez
2006,Spain,Pepe Reina
2006,Spain,Raúl
2006,Spain,Santiago Cañizares
2006,Spain,Sergio Ramos
2006,Spain,Xabi Alonso
2006,Spain,Xavi
2006,Sweden,Anders Svensson
2006,Sweden,Andreas Isaksson
2006,Sweden,Christian Wilhelmsson
2006,Sweden,Daniel Andersson
2006,Sweden,Erik Edman
2006,Sweden,Freddie Ljungberg
2006,Sweden,Fredrik Stenman
2006,Sweden,Henrik Larsson
2006,Sweden,Johan Elmander
2006,Sweden,John Alvbåge
2006,Sweden,Karl Svensson
2006,Sweden,Kim Källström
2006,Sweden,Marcus Allbäck
2006,Sweden,Markus Rosenberg
2006,Sweden,Mattias Jonson
2006,Sweden,Mikael Nilsson
2006,Sweden,Niclas Alexandersson
2006,Sweden,Olof Mellberg
2006,Sweden,Petter Hansson
2006,Sweden,Rami Shaaban
2006,Sweden,Teddy Lučić
2006,Sweden,Tobias Linderoth
2006,Sweden,Zlatan Ibrahimović
2006,Switzerland,Alexander Frei
2006,Switzerland,Blerim Džemaili
2006,Switzerland,Christoph Spycher
2006,Switzerland,Daniel Gygax
2006,Switzerland,David Degen
2006,Switzerland,Diego Benaglio
2006,Switzerland,Fabio Coltorti
2006,Switzerland,Hakan Yakin
2006,Switzerland,Johan Djourou
2006,Switzerland,Johann Vogel
2006,Switzerland,Ludovic Magnin
2006,Switzerland,Marco Streller
2006,Switzerland,Mauro Lustrinelli
2006,Switzerland,Pascal Zuberbühler
2006,Switzerland,Patrick Müller
2006,Switzerland,Philipp Degen
2006,Switzerland,Philippe Senderos
2006,Switzerland,Raphaël Wicky
2006,Switzerland,Ricardo Cabanas
2006,Switzerland,Stéphane Grichting
2006,Switzerland,Tranquillo Barnetta
2006,Switzerland,Valon Behrami
2006,Switzerland,Xavier Margairaz
2006,Togo,Adékambi Olufadé
2006,Togo,Affo Erassa
2006,Togo,Alaixys Romao
2006,Togo,Assimiou Touré
2006,Togo,Chérif Touré Mamam
2006,Togo,Daré Nibombé
2006,Togo,Emmanuel Adebayor
2006,Togo,Eric Akoto
2006,Togo,Franck Atsou
2006,Togo,Jean-Paul Abalo
2006,Togo,Kodjovi Obilalé
2006,Togo,Kossi Agassa
2006,Togo,Kuami Agboh
2006,Togo,Ludovic Assemoassa
2006,Togo,Massamasso Tchangai
2006,Togo,Mohamed Kader
2006,Togo,Moustapha Salifou
2006,Togo,Ouro-Nimini Tchagnirou
2006,Togo,Richmond Forson
2006,Togo,Robert Malm
2006,Togo,Thomas Dossevi
2006,Togo,Yao Aziawonou
2006,Togo,Yao Junior Sènaya
2006,Trinidad and Tobago,Anthony Wolfe
2006,Trinidad and Tobago,Aurtis Whitley
2006,Trinidad and Tobago,Avery John
2006,Trinidad and Tobago,Brent Sancho
2006,Trinidad and Tobago,Carlos Edwards
2006,Trinidad and Tobago,Chris Birchall
2006,Trinidad and Tobago,Clayton Ince
2006,Trinidad and Tobago,Collin Samuel
2006,Trinidad and Tobago,Cornell Glen
2006,Trinidad and Tobago,Cyd Gray
2006,Trinidad and Tobago,David Atiba Charles
2006,Trinidad and Tobago,Dennis Lawrence
2006,Trinidad and Tobago,Densill Theobald
2006,Trinidad and Tobago,Dwight Yorke
2006,Trinidad and Tobago,Evans Wise
2006,Trinidad and Tobago,Ian Cox
2006,Trinidad and Tobago,Jason Scotland
2006,Trinidad and Tobago,Kelvin Jack
2006,Trinidad and Tobago,Kenwyne Jones
2006,Trinidad and Tobago,Marvin Andrews
2006,Trinidad and Tobago,Russell Latapy
2006,Trinidad and Tobago,Shaka Hislop
2006,Trinidad and Tobago,Stern John
2006,Tunisia,Adel Chedli
2006,Tunisia,Adel Nefzi
2006,Tunisia,Alaeddine Yahia
2006,Tunisia,Ali Boumnijel
2006,Tunisia,Anis Ayari
2006,Tunisia,Chaouki Ben Saada
2006,Tunisia,David Jemmali
2006,Tunisia,Francileudo Santos
2006,Tunisia,Hamdi Kasraoui
2006,Tunisia,Hamed Namouchi
2006,Tunisia,Hatem Trabelsi
2006,Tunisia,Haykel Guemamdia
2006,Tunisia,Jawhar Mnari
2006,Tunisia,Kaies Ghodhbane
2006,Tunisia,Karim Essediri
2006,Tunisia,Karim Haggui
2006,Tunisia,Karim Saidi
2006,Tunisia,Mehdi Nafti
2006,Tunisia,Radhi Jaïdi
2006,Tunisia,Riadh Bouazizi
2006,Tunisia,Sofiane Melliti
2006,Tunisia,Yassine Chikhaoui
2006,Tunisia,Ziad Jaziri
2006,Ukraine,Anatoliy Tymoshchuk
2006,Ukraine,Andriy Husin
2006,Ukraine,Andriy Nesmachniy
2006,Ukraine,Andriy Pyatov
2006,Ukraine,Andriy Rusol
2006,Ukraine,Andriy Shevchenko
2006,Ukraine,Andriy Vorobey
2006,Ukraine,Andriy Voronin
2006,Ukraine,Artem Milevskyi
2006,Ukraine,Bohdan Shust
2006,Ukraine,Dmytro Chyhrynskyi
2006,Ukraine,Maksym Kalynychenko
2006,Ukraine,Oleh Husyev
2006,Ukraine,Oleh Shelayev
2006,Ukraine,Oleksandr Shovkovskyi
2006,Ukraine,Oleksandr Yatsenko
2006,Ukraine,Oleksiy Byelik
2006,Ukraine,Ruslan Rotan
2006,Ukraine,Serhii Rebrov
2006,Ukraine,Serhiy Nazarenko
2006,Ukraine,Vladyslav Vashchuk
2006,Ukraine,Volodymyr Yezerskiy
2006,Ukraine,Vyacheslav Sviderskyi
2006,United States,Ben Olsen
2006,United States,Bobby Convey
2006,United States,Brian Ching
2006,United States,Brian McBride
2006,United States,Carlos Bocanegra
2006,United States,Chris Albright
2006,United States,Claudio Reyna
2006,United States,Clint Dempsey
2006,United States,DaMarcus Beasley
2006,United States,Eddie Johnson (American soccer)
2006,United States,Eddie Lewis (American soccer)
2006,United States,Eddie Pope
2006,United States,Gregg Berhalter
2006,United States,Jimmy Conrad
2006,United States,John O'Brien (soccer)
2006,United States,Josh Wolff
2006,United States,Kasey Keller
2006,United States,Landon Donovan
2006,United States,Marcus Hahnemann
2006,United States,Oguchi Onyewu
2006,United States,Pablo Mastroeni
2006,United States,Steve Cherundolo
2006,United States,Tim Howard
2010,Algeria,Abdelkader Ghezzal
2010,Algeria,Abdelkader Laïfaoui
2010,Algeria,Adlène Guedioura
2010,Algeria,Antar Yahia
2010,Algeria,Carl Medjani
2010,Algeria,Djamel Abdoun
2010,Algeria,Djamel Mesbah
2010,Algeria,Faouzi Chaouchi
2010,Algeria,Foued Kadir
2010,Algeria,Habib Bellaïd
2010,Algeria,Hassan Yebda
2010,Algeria,Karim Matmour
2010,Algeria,Karim Ziani
2010,Algeria,Lounès Gaouaoui
2010,Algeria,Madjid Bougherra
2010,Algeria,Mehdi Lacen
2010,Algeria,Nadir Belhadj
2010,Algeria,Rafik Djebbour
2010,Algeria,Rafik Halliche
2010,Algeria,Rafik Saïfi
2010,Algeria,Raïs M'Bolhi
2010,Algeria,Ryad Boudebouz
2010,Algeria,Yazid Mansouri
2010,Argentina,Ariel Garcé
2010,Argentina,Carlos Tevez
2010,Argentina,Clemente Rodríguez
2010,Argentina,Diego Milito
2010,Argentina,Diego Pozo
2010,Argentina,Gabriel Heinze
2010,Argentina,Gonzalo Higuaín
2010,Argentina,Javier Mascherano
2010,Argentina,Javier Pastore
2010,Argentina,Jonás Gutiérrez
2010,Argentina,Juan Sebastián Verón
2010,Argentina,Lionel Messi
2010,Argentina,Mariano Andújar
2010,Argentina,Mario Bolatti
2010,Argentina,Martín Demichelis
2010,Argentina,Martín Palermo
2010,Argentina,Maxi Rodríguez
2010,Argentina,Nicolás Burdisso
2010,Argentina,Nicolás Otamendi
2010,Argentina,Sergio Agüero
2010,Argentina,Sergio Romero
2010,Argentina,Walter Samuel
2010,Argentina,Ángel Di María
2010,Australia,Adam Federici
2010,Australia,Brett Emerton
2010,Australia,Brett Holman
2010,Australia,Carl Valeri
2010,Australia,Craig Moore
2010,Australia,Dario Vidošić
2010,Australia,David Carney
2010,Australia,Eugene Galekovic
2010,Australia,Harry Kewell
2010,Australia,Jason Culina
2010,Australia,Joshua Kennedy
2010,Australia,Lucas Neill
2010,Australia,Luke Wilkshire
2010,Australia,Mark Bresciano
2010,Australia,Mark Milligan
